{(company, APPLE); (value, 71.93); (drop, 65.35); (variation, 0.38); (date, 2022-06-07)} 
{(company, GOOGLE); (value, 58.59); (drop, 47.11); (variation, 0.44); (date, 2022-06-08)} 
{(company, MICROSOFT); (value, 53.51); (drop, 38.44); (variation, 0.19); (date, 2022-06-07)} 
{(company, MICROSOFT); (value, 17.08); (drop, 7.01); (variation, 0.71); (date, 2022-06-09)} 
{(company, GOOGLE); (value, 98.23); (drop, 22.63); (variation, 0.01); (date, 2022-06-08)} 
{(company, GOOGLE); (value, 25.16); (drop, 15.53); (variation, 0.17); (date, 2022-06-07)} 
{(company, MICROSOFT); (value, 47.5); (drop, 30.51); (variation, 0.11); (date, 2022-06-07)} 
{(company, APPLE); (value, 77.52); (drop, 13.64); (variation, 0.49); (date, 2022-06-09)} 
{(company, MICROSOFT); (value, 28.3); (drop, 12.89); (variation, 0.22); (date, 2022-06-08)} 
{(company, GOOGLE); (value, 76.97); (drop, 49.22); (variation, 0.76); (date, 2022-06-08)} 
{(company, APPLE); (value, 78.38); (drop, 31.14); (variation, 0.64); (date, 2022-06-07)} 
{(company, GOOGLE); (value, 61.46); (drop, 44.25); (variation, 0.09); (date, 2022-06-08)} 
{(company, AMAZON); (value, 59.08); (drop, 19.29); (variation, 0.08); (date, 2022-06-08)} 
{(company, AMAZON); (value, 66.37); (drop, 34.96); (variation, 0.39); (date, 2022-06-08)} 
{(company, MICROSOFT); (value, 32.97); (drop, 0.03); (variation, 0.9); (date, 2022-06-08)} 
{(company, AMAZON); (value, 27.44); (drop, 4.37); (variation, 0.36); (date, 2022-06-09)} 
{(company, MICROSOFT); (value, 18.59); (drop, 6.16); (variation, 0.97); (date, 2022-06-07)} 
{(company, GOOGLE); (value, 17.69); (drop, 4.9); (variation, 0.27); (date, 2022-06-07)} 
{(company, APPLE); (value, 11.38); (drop, 3.15); (variation, 0.7); (date, 2022-06-08)} 
{(company, APPLE); (value, 78.83); (drop, 63.81); (variation, 0.86); (date, 2022-06-08)} 
{(company, AMAZON); (value, 27.97); (drop, 6.97); (variation, 0.24); (date, 2022-06-09)} 
{(company, GOOGLE); (value, 6.52); (drop, 4.0); (variation, 0.52); (date, 2022-06-09)} 
{(company, GOOGLE); (value, 86.26); (drop, 70.57); (variation, 0.77); (date, 2022-06-08)} 
{(company, APPLE); (value, 40.62); (drop, 17.39); (variation, 0.48); (date, 2022-06-09)} 
{(company, MICROSOFT); (value, 14.97); (drop, 8.15); (variation, 0.51); (date, 2022-06-08)} 
{(company, AMAZON); (value, 15.08); (drop, 11.58); (variation, 0.05); (date, 2022-06-07)} 
{(company, GOOGLE); (value, 87.19); (drop, 50.12); (variation, 0.51); (date, 2022-06-08)} 
{(company, MICROSOFT); (value, 9.08); (drop, 8.2); (variation, 0.21); (date, 2022-06-09)} 
{(company, GOOGLE); (value, 98.26); (drop, 85.25); (variation, 1.0); (date, 2022-06-08)} 
{(company, MICROSOFT); (value, 12.78); (drop, 7.05); (variation, 0.48); (date, 2022-06-08)} 
{(company, AMAZON); (value, 44.74); (drop, 33.75); (variation, 0.23); (date, 2022-06-08)} 
{(company, MICROSOFT); (value, 33.69); (drop, 21.87); (variation, 0.63); (date, 2022-06-09)} 
{(company, APPLE); (value, 17.36); (drop, 8.14); (variation, 0.08); (date, 2022-06-09)} 
{(company, MICROSOFT); (value, 40.62); (drop, 21.21); (variation, 0.62); (date, 2022-06-07)} 
{(company, AMAZON); (value, 64.41); (drop, 20.85); (variation, 0.65); (date, 2022-06-07)} 
{(company, APPLE); (value, 44.59); (drop, 43.13); (variation, 0.49); (date, 2022-06-07)} 
{(company, GOOGLE); (value, 57.53); (drop, 19.92); (variation, 0.3); (date, 2022-06-09)} 
{(company, APPLE); (value, 92.33); (drop, 80.61); (variation, 0.44); (date, 2022-06-09)} 
{(company, MICROSOFT); (value, 9.15); (drop, 3.68); (variation, 0.17); (date, 2022-06-09)} 
{(company, APPLE); (value, 86.12); (drop, 41.11); (variation, 0.15); (date, 2022-06-07)} 
{(company, MICROSOFT); (value, 90.48); (drop, 65.48); (variation, 0.74); (date, 2022-06-08)} 
{(company, MICROSOFT); (value, 50.11); (drop, 19.58); (variation, 0.59); (date, 2022-06-08)} 
{(company, GOOGLE); (value, 47.94); (drop, 15.06); (variation, 0.2); (date, 2022-06-08)} 
{(company, GOOGLE); (value, 11.06); (drop, 6.64); (variation, 0.23); (date, 2022-06-07)} 
{(company, MICROSOFT); (value, 65.74); (drop, 42.79); (variation, 0.38); (date, 2022-06-08)} 
{(company, GOOGLE); (value, 46.64); (drop, 43.06); (variation, 0.95); (date, 2022-06-07)} 
{(company, AMAZON); (value, 49.85); (drop, 39.28); (variation, 0.1); (date, 2022-06-09)} 
{(company, APPLE); (value, 83.0); (drop, 51.25); (variation, 0.05); (date, 2022-06-09)} 
{(company, AMAZON); (value, 80.52); (drop, 66.32); (variation, 0.74); (date, 2022-06-08)} 
{(company, GOOGLE); (value, 50.55); (drop, 48.21); (variation, 0.4); (date, 2022-06-08)} 
{(company, MICROSOFT); (value, 50.55); (drop, 23.19); (variation, 0.42); (date, 2022-06-09)} 
{(company, AMAZON); (value, 3.3); (drop, 0.36); (variation, 0.83); (date, 2022-06-09)} 
{(company, GOOGLE); (value, 83.05); (drop, 53.98); (variation, 0.29); (date, 2022-06-08)} 
{(company, MICROSOFT); (value, 55.44); (drop, 47.26); (variation, 0.42); (date, 2022-06-07)} 
{(company, MICROSOFT); (value, 0.29); (drop, 0.07); (variation, 0.54); (date, 2022-06-07)} 
{(company, GOOGLE); (value, 46.71); (drop, 35.12); (variation, 0.39); (date, 2022-06-09)} 
{(company, APPLE); (value, 21.54); (drop, 2.57); (variation, 0.43); (date, 2022-06-07)} 
{(company, GOOGLE); (value, 51.36); (drop, 25.99); (variation, 0.97); (date, 2022-06-08)} 
{(company, MICROSOFT); (value, 83.07); (drop, 65.82); (variation, 0.68); (date, 2022-06-09)} 
{(company, APPLE); (value, 54.84); (drop, 26.5); (variation, 0.31); (date, 2022-06-08)} 
{(company, APPLE); (value, 2.2); (drop, 1.28); (variation, 0.84); (date, 2022-06-07)} 
{(company, MICROSOFT); (value, 66.12); (drop, 22.87); (variation, 0.36); (date, 2022-06-07)} 
{(company, GOOGLE); (value, 21.36); (drop, 7.07); (variation, 0.54); (date, 2022-06-08)} 
{(company, GOOGLE); (value, 95.82); (drop, 67.86); (variation, 0.23); (date, 2022-06-09)} 
{(company, MICROSOFT); (value, 21.5); (drop, 8.62); (variation, 0.72); (date, 2022-06-07)} 
{(company, GOOGLE); (value, 36.51); (drop, 11.6); (variation, 0.25); (date, 2022-06-08)} 
{(company, AMAZON); (value, 97.48); (drop, 42.52); (variation, 0.89); (date, 2022-06-09)} 
{(company, AMAZON); (value, 69.7); (drop, 18.36); (variation, 0.82); (date, 2022-06-08)} 
{(company, GOOGLE); (value, 62.19); (drop, 52.13); (variation, 0.97); (date, 2022-06-08)} 
{(company, AMAZON); (value, 47.63); (drop, 16.31); (variation, 0.1); (date, 2022-06-08)} 
{(company, GOOGLE); (value, 10.06); (drop, 6.1); (variation, 0.36); (date, 2022-06-08)} 
{(company, AMAZON); (value, 92.31); (drop, 57.26); (variation, 0.42); (date, 2022-06-09)} 
{(company, MICROSOFT); (value, 6.11); (drop, 1.49); (variation, 0.96); (date, 2022-06-09)} 
